127.0.0.1 - - [03/May/2023:20:54:25 -0500] "GET / HTTP/1.1" 404 688
0:0:0:0:0:0:0:1 - - [03/May/2023:20:57:15 -0500] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 378
0:0:0:0:0:0:0:1 - - [03/May/2023:20:57:15 -0500] "GET /favicon.ico HTTP/1.1" 404 699
0:0:0:0:0:0:0:1 - - [03/May/2023:20:57:15 -0500] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 378
0:0:0:0:0:0:0:1 - - [03/May/2023:20:58:49 -0500] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 378
0:0:0:0:0:0:0:1 - - [03/May/2023:20:59:06 -0500] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 378
0:0:0:0:0:0:0:1 - - [03/May/2023:21:00:47 -0500] "POST /gerenciador/nuevaEmpresa HTTP/1.1" 200 90
0:0:0:0:0:0:0:1 - - [03/May/2023:21:00:51 -0500] "GET /gerenciador/formNuevaEmpresa.html HTTP/1.1" 200 352
0:0:0:0:0:0:0:1 - - [03/May/2023:21:00:53 -0500] "GET /gerenciador/formNuevaEmpresa.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2023:21:03:06 -0500] "GET /gerenciador/formNuevaEmpresa.html HTTP/1.1" 200 417
0:0:0:0:0:0:0:1 - - [03/May/2023:21:03:15 -0500] "GET /gerenciador/formNuevaEmpresa HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [03/May/2023:21:03:27 -0500] "GET /gerenciador/formNuevaEmpresa.jsp HTTP/1.1" 404 686
0:0:0:0:0:0:0:1 - - [03/May/2023:21:05:23 -0500] "GET /gerenciador/formNuevaEmpresa.jsp HTTP/1.1" 200 291
0:0:0:0:0:0:0:1 - - [03/May/2023:21:05:26 -0500] "POST /gerenciador/nuevaEmpresa HTTP/1.1" 200 90
0:0:0:0:0:0:0:1 - - [03/May/2023:21:06:35 -0500] "GET /gerenciador/formNuevaEmpresa.jsp HTTP/1.1" 200 343
0:0:0:0:0:0:0:1 - - [03/May/2023:21:23:06 -0500] "GET /gerenciador/formNuevaEmpresa.jsp HTTP/1.1" 200 343
0:0:0:0:0:0:0:1 - - [03/May/2023:21:23:08 -0500] "GET /gerenciador/formNuevaEmpresa.jsp HTTP/1.1" 200 343
0:0:0:0:0:0:0:1 - - [03/May/2023:21:23:17 -0500] "POST /gerenciador/nuevaEmpresa HTTP/1.1" 200 90
0:0:0:0:0:0:0:1 - - [03/May/2023:21:23:22 -0500] "GET /gerenciador/listaEmpresas HTTP/1.1" 200 439
